"nameFa","nameEn"
"۱۳ ساله","13-year-old"
"۱۴ ساله","14-year-old"
"۱۵ ساله","15-year-old"
"۱۶ ساله","16-year-old"
"۱۶ ساله، کانون اصلاح و تربیت","16-year-old, Youth detention center"
"۱۷ ساله","17-year-old"
"۱۷ ساله کانون اصلا‌ح وتربیت زندان لاکان","17-year-old, Youth detention center of Lakaan Prison"
"۱۸ آبان","November 9th, 2022"
"۱۸ ساله","18-year-old"
"۱۸ ساله - زندان فشافویه","18-year-old, Fashafouyeh Prison"
"۱۹ ساله","19-year-old"
"۱۹ ساله - زندان فشافویه","19-year-old, Fashafouyeh Prison"
"۲۰ ساله","20-year-old"
"۲۱ ساله - زندان فشافویه","20-year-old, Fashafouyeh Prison"
"۲۳ ساله - زندان فشافویه","20-year-old, Fashafouyeh Prison"
"۲۶ ساله - زندان فشافویه","20-year-old, Fashafouyeh Prison"
"۲۷ ساله - زندان فشافویه","20-year-old, Fashafouyeh Prison"
"۳۲ ساله - زندان فشافویه","20-year-old, Fashafouyeh Prison"
"آرایشگر","Hair stylist"
"ادمین چند کانال تلگرامی ورزشی","Admin of several sports telegram channels"
"ارجاع به دادگاه ، قرچک","Referral to court, Qarchak"
"از کرج به شیراز منتقل شد","He was transferred from Karaj to Shiraz"
"استاد دانشگاه الزهرا","Al-Zahra University professor"
"استادیار دانشگاه آزاد","Assistant Professor of Azad University"
"اصفهان","Esfahan"
"اقتصاددان","Economist"
"انجمن صنفی","Union member"
"اهل  بهشهر","From Behshahr"
"اهل بوکان","From Bukan"
"اهل سقز، سرباز در تهران","From Saqiz, Military service in Tehran"
"اهل کرمانشاه","From Kermanshah"
"اوین","Evin"
"اوین - نویسنده و مترجم","Evin, Writer and translator"
"اوین/ نقاش","Evin, Painter"
"ایتالیایی","Italian"
"ایرانی- آمریکایی","Irannian-American"
"اینفلونسر اینستاگرام","Instagram Influencer"
"بازداشت با ضرب و شتم","Arrest by beating"
"بازداشت دوباره","Re-arrest"
"بازیکن تیم فوتبال پرسپولیس","Persepolis football team player"
"بازیگر","Actor"
"بازیگر - هنرمند","Actor - artist"
"بازیگر تئاتر","Theater actor"
"بازیگر تئاتر و سینما","Theater and cinema actor"
"بازیگر سینما","Actor"
"بخاطر ساخت کلیپ گل دادن به مردم","For making a clip of giving flowers to people"
"برادر  بهاالدین ویسی کشته شده در اعتراضات","The brother of Bahauddin Veisi who was killed in the protests"
"برادر جواد حیدری از کشته شدگان اعتراضات","The brother of Javad Heydari who was killed in the protests"
"برادر محمد اختیارزاده","Mohammad Ekhtiarzadeh's brother"
"برادر مهدی حاجتی فعال سیاسی","Mehdi Hajati(Political activist) brother"
"برنامه‌نویس","Programmer"
"بلاگر","Blogger"
"بلاگر هنری","Art Blogger"
"بند 209","Evin Prison, Section 209"
"بند زنان زندان مراغه","Women's Ward of Maragheh Prison"
"بیماری تالاسمی","Thalassemia disease"
"بیماری تنفسی","Respiratory disease"
"بیماری صرع","Epilepsy"
"بیماری قلبی دارد","With heart disease"
"پارکور کار و رقصنده","Parkour work and dancer"
"پدر سپهر شریفی کشته شده اعتراضات","The father of Sepehr Sharifi who was killed during the protests"
"پدر کومار درافتاده نوجوان ۱۶ ساله‌ای که در جریان تظاهرات  کشته شد","The father of Kumar Drafateh, a 16-year-old teenager who was killed during the demonstration"
"پرستار اهل سنندج","Nurse from Sanandaj"
"پرونده در دادگاه انقلاب قزوین","Case in Qazvin Revolutionary Court"
"پزشک","Doctor"
"پزشک متخصص","Specialist"
"پزشک- زندان عادل آباد","Doctor - Adel Abad prison"
"پژوهشگر و مستندساز","Researcher and documentary maker"
"پیرو آئین یارسان","Yarsan(Religious minority)"
"تاریخ کشته شدن: ۱۷ آذر","Killed date: December 8th, 2022"
"تجمع مقابل بیمارستان سینا برای حسین رونقی","Gathering in front of Sinai Hospital for Hossein Ronagi"
"تنها زن یونی سایکلیست ایران","Iran's only female unicyclist"
"تهییه کننده موسیقی","Music producer"
"جامعه شناس، ایرانگرد","Sociologist, Iranian traveller"
"جامعه‌شناس","Sociologist"
"حدالقل ۴۰ ساچمه خورده","Hit by at least 40 shot gun bullets"
"خبرنگار حوزه کارگری ایلنا","Ilana labor reporter"
"خبرنگار صداوسیما","IRIB reporter"
"خبرنگار کارگری","Labor reporter"
"خلبان هواپیمایی ایران ایر","Pilot of Iran Air"
"خواننده رپ","Rapper"
"خواننده سرود برای","Singer of Baraie"
"خواننده لر","Lorish singer"
"خواننده هیپ هاپ","Hip-hop singer"
"خواهر نوید افکاری","Navid Afkaari's sister"
"خودکشی پس از آزادی","Suicide after release"
"دارای معلولیت از ناحیه دست راست","Has a disability in the right hand"
"دانش آموخته جغرفیای سیاسی","Graduated in political geography"
"دانش آموز","Student"
"دانش آموز مدرسه پژوهش","Pajouhesh school student"
"دانش آموز ۱۵ ساله","15-year-old student"
"دانش‌آموز ۱۶ سال","16-year-old student"
"دانش‌آموز ۱۷ ساله","17-year-old student"
"دانشجوی علوم پزشکی کردستان","Kurdistan medical science student"
"دانشکده داروسازی دانشگاه علوم پزشکی تهران","Faculty of Pharmacy, Tehran University of Medical Sciences"
